name,description,level,character_class,subclass,is_choice,uses,source,source_file
Resounding Strike,"At 6th level, when you deal thunder damage to a Large or smaller creature, you can also push it up to 10 feet away from you.",6,Cleric,Zeal Domain (Amonkhet),False,,Plane Shift - Amonkhet,cleric_features.json
Divine Strike,"At 8th level, you gain the ability to infuse your weapon strikes with divine energy. Once on each of your turns when you hit a creature with a weapon attack, you can cause the attack to deal an extra 1d8 damage of the same type dealt by the weapon to the target. When you reach 14th level, the extra damage increases to 2d8.",8,Cleric,Zeal Domain (Amonkhet),False,,Plane Shift - Amonkhet,cleric_features.json
Blaze of Glory,"Starting at 17th level, you can delay death for an instant to perform a final heroic act.

When you are reduced to 0 hit points by an attacker you can see, even if you would be killed outright, you can use your reaction to move up to your speed toward the attacker and make one melee weapon attack against it, as long as the movement brings it within your reach. You make this attack with advantage. If the attack hits, the creature takes an extra 5d10 fire damage and an extra 5d10 damage of the weapon’s type. You then fall unconscious and begin making death saving throws as normal, or you die if the damage you took would have killed you outright.

Once you use this feature, you can’t use it again until you finish a long rest.",17,Cleric,Zeal Domain (Amonkhet),False,1,Plane Shift - Amonkhet,cleric_features.json
Omens and Portents,"At 1st level, you can perceive signs of the future in everyday objects and events, such as flights of birds or ripples made in water by a thrown stone. You can cast the Augury spell without expending a spell slot and, when you cast the spell in this way, the spell has no verbal, somatic, or material components. Once you cast the spell in this way, you cannot do so again until you finish a long rest.

In addition, until you finish a long rest, when you cast a divination spell that includes a chance the DM gives you no answer or a random reading—such as Augury, Commune, or Divination—reduce that chance by 25 percent.",1,Cleric,Fate Domain (UA),False,,Unearthed Arcana 85 - Wonders of the Multiverse,cleric_features.json
Ties That Bind,"At 1st level, you can temporarily tie your fate to others. As an action, you can touch one object or creature and magically tie a strand of fate from yourself to it for 1 hour or until you use this feature again. An unwilling creature must succeed on a Wisdom saving throw against your spell save DC to resist this effect. While the target is bound to you and on the same plane of existence as you, you can sense the direction to the target’s location, and you know the direction of its movement if it is in motion.

In addition, once per turn when you cast a spell using a spell slot to deal damage or restore hit points to the target, roll a d6, and the target receives extra damage or healing, respectively, equal to the number rolled.

You can use this feature’s action a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",1,Cleric,Fate Domain (UA),False,,Unearthed Arcana 85 - Wonders of the Multiverse,cleric_features.json
Channel Divinity: Strands of Fate,"At 2nd level, you can use your Channel Divinity to see and manipulate the strands of fate that weave around other individuals. As a bonus action, you can enter this state for up to 1 minute or until you lose your concentration (as if you were concentrating on a spell). For the duration, whenever another creature you can see makes an attack roll or an ability check, you can use a reaction to give the roll advantage or disadvantage (your choice).",2,Cleric,Fate Domain (UA),False,,Unearthed Arcana 85 - Wonders of the Multiverse,cleric_features.json
Insightful Striking,"At 6th level, as a bonus action, you can choose one creature you can see within 30 feet of yourself. Your magic grants you a brief vision of the target’s defenses. Until the end of your next turn, you gain one of the following effects of your choice:

• The next time you make an attack roll against the target, roll a d6 and add the number rolled to the total.

• The next time the target must make a saving throw against a spell you cast, the target must roll a d6 and subtract the number rolled from the saving throw.

You can use this bonus action a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",6,Cleric,Fate Domain (UA),False,,Unearthed Arcana 85 - Wonders of the Multiverse,cleric_features.json
Potent Spellcasting,"At 8th level, you add your Wisdom modifier to the damage you deal with any cleric cantrip.",8,Cleric,Fate Domain (UA),False,,Unearthed Arcana 85 - Wonders of the Multiverse,cleric_features.json
Visions of the Future,"At 17th level, your knowledge of the future allows you to guide an individual to achieve their greatest possible success. You can cast the Foresight spell once without expending a spell slot; when you cast the spell in this way, the spell’s duration is 1 minute for that casting. Once you cast the spell in this way, you can’t do so again until you finish a long rest.",17,Cleric,Fate Domain (UA),False,,Unearthed Arcana 85 - Wonders of the Multiverse,cleric_features.json
Bonus Cantrip,"When you choose this domain at 1st level, you gain the On/Off* cantrip in addition to your chosen cantrips.",1,Cleric,City Domain (UA),False,,Unearthed Arcana 7 - Modern Magic,cleric_features.json
Bonus Proficiencies,"Also starting at 1st level, you gain proficiency with sidearms and proficiency with vehicles (land).",1,Cleric,City Domain (UA),False,,Unearthed Arcana 7 - Modern Magic,cleric_features.json
Heart of the City,"From 1st level, you are able to tap into the spirit of community found in the city. While you are within any city, you can gain advantage on a single Charisma (Deception, Intimidation, or Persuasion) check, and you are considered proficient in the appropriate skill. You can use this feature a number of times equal to your Wisdom modifier (a minimum of once). You regain any expended uses when you finish a long rest.",1,Cleric,City Domain (UA),False,,Unearthed Arcana 7 - Modern Magic,cleric_features.json
Channel Divinity: Spirits of the City,"Starting at 2nd level, you can use your Channel Divinity to call on the city for aid. As an action, you present your holy symbol, and any city utility within 30 feet of you either works perfectly or shuts down entirely for 1 minute (your choice).

Additionally, each hostile creature within 30 feet of you must make a Charisma saving throw. On a failed save, the creature is knocked prone or restrained (your choice) by hazards such as entangling wires, high-pressure water erupting from fire hydrants, pavement collapsing to unseen potholes, and so on. A restrained creature can escape by making a successful Strength (Athletics) or Dexterity (Acrobatics) check against your spell save DC.

This effect is entirely local and affects only utilities within 30 feet of you. Determination of what utilities are available within range and how the physical effects of those utilities manifest are left to the DM.",2,Cleric,City Domain (UA),False,,Unearthed Arcana 7 - Modern Magic,cleric_features.json
Block Watch,"Starting at 6th level, your awareness while in the city extends preternaturally. While in an urban environment, you are considered proficient in the Insight and Perception skills, and you add double your proficiency bonus to Wisdom (Insight) and Wisdom (Perception) checks, instead of your normal proficiency bonus.",6,Cleric,City Domain (UA),False,,Unearthed Arcana 7 - Modern Magic,cleric_features.json
Divine Strike,"At 8th level, you gain the ability to infuse your weapon strikes with psychic energy borrowed from the citizens of your city. Once on each of your turns when you hit a creature with a weapon attack, you can cause the attack to deal an extra 1d8 psychic damage to the target. When you reach 14th level, the extra psychic damage increases to 2d8.",8,Cleric,City Domain (UA),False,,Unearthed Arcana 7 - Modern Magic,cleric_features.json
Express Transit,"At 17th level, you can use mass transit routes to transport instantaneously to other points in the city. Starting from a bus stop, train station, subway stop, or other suitable mass transit site within the city, you can teleport to any other similar transit stop within the city, as if you had cast a Teleport spell whose destination is a permanent Teleportation Circle you know. Once you use this feature, you must finish a short or long rest before using it again.",17,Cleric,City Domain (UA),False,,Unearthed Arcana 7 - Modern Magic,cleric_features.json
Bonus Proficiency,"When you choose this domain at 1st level, you gain proficiency with heavy armor.",1,Cleric,Protection Domain (UA),False,,Unearthed Arcana 22 - Cleric,cleric_features.json
Shield of the Faithful,"Starting at 1st level, you gain the ability to hinder attacks intended for others. When a creature attacks a target other than you that is within 5 feet of you, you can use your reaction to impose disadvantage on the attack roll. To do so, you must be able to see both the attacker and the target. You interpose an arm, a shield, or some other part of yourself to try to throw the attack off target.",1,Cleric,Protection Domain (UA),False,,Unearthed Arcana 22 - Cleric,cleric_features.json
Channel Divinity: Radiant Defense,"Starting at 2nd level, you can use your Channel Divinity to cloak your allies in radiant armor.

As an action, you channel blessed energy into an ally that you can see within 30 feet of you. The first time that ally is hit by an attack within the next minute, the attacker takes radiant damage equal to 2d10 + your cleric level.",2,Cleric,Protection Domain (UA),False,,Unearthed Arcana 22 - Cleric,cleric_features.json
Blessed Healer,"Beginning at 6th level, the healing spells you cast on others can heal you as well. When you cast a spell with a spell slot and it restores hit points to any creature other than you this turn, you regain hit points equal to 2 + the spell’s level.",6,Cleric,Protection Domain (UA),False,,Unearthed Arcana 22 - Cleric,cleric_features.json
Divine Strike,"At 8th level, you gain the ability to infuse your weapon strikes with divine energy. Once on each of your turns when you hit a creature with a weapon attack, you can cause the attack to deal an extra 1d8 radiant damage to the target. When you reach 14th level, the extra damage increases to 2d8.",8,Cleric,Protection Domain (UA),False,,Unearthed Arcana 22 - Cleric,cleric_features.json
Indomitable Defense,"At 17th level, you gain resistance to two damage types of your choice, choosing from bludgeoning, necrotic, piercing, radiant, and slashing. Whenever you finish a short or long rest, you can change the damage types you chose.

As an action, you can temporarily give up this resistance and transfer it to one creature you touch. The creature keeps the resistance until the end of your next short or long rest or until you transfer it back to yourself as a bonus action.",17,Cleric,Protection Domain (UA),False,,Unearthed Arcana 22 - Cleric,cleric_features.json
Bonus Proficiencies,"At 1st level, you gain proficiency with martial weapons and heavy armor.",1,Cleric,Twilight Domain (UA),False,,"Unearthed Arcana 63 - Cleric, Druid, Wizard",cleric_features.json
Eyes of Night,"Starting at 1st level, your eyes are blessed, allowing you to see through the deepest gloom. You have darkvision with no maximum range; you can see in dim light as if it were bright light and in darkness as if it were dim light.

As an action, you can magically give the benefit of this feature to any number of creatures you can see within 10 feet of you. The shared benefit lasts for 10 minutes. You can extend this benefit a number of times equal to your Wisdom modifier (a minimum of once), and you regain all expended uses when you finish a long rest.",1,Cleric,Twilight Domain (UA),False,,"Unearthed Arcana 63 - Cleric, Druid, Wizard",cleric_features.json
Vigilant Blessing,"At 1st level, the night has taught you to be vigilant. As an action, you give one creature you touch (including possibly yourself) advantage on your next initiative roll the creature makes. This benefit ends immediately after the roll or if you use this feature again.",1,Cleric,Twilight Domain (UA),False,,"Unearthed Arcana 63 - Cleric, Druid, Wizard",cleric_features.json
Channel Divinity: Twilight Sanctuary,"At 2nd level, you can use your Channel Divinity to refresh your allies with soothing twilight.

As an action, you present your holy symbol, and a sphere of twilight emanates from you. The sphere is centered on you, has a 30-foot radius, and is filled with dim light. The sphere moves with you, and it lasts for 1 minute or until you are incapacitated or die. Whenever a creature (including you) ends its turn in the sphere, you can grant that creature one of these benefits.

• Give it 1d8 temporary hit points

• End one effect causing it to be charmed or frightened.",2,Cleric,Twilight Domain (UA),False,,"Unearthed Arcana 63 - Cleric, Druid, Wizard",cleric_features.json
Steps of the Brave,"Starting at 6th level, you draw strength from your connection to twilight and find yourself at home within its dark embrace, gaining two benefits.

• You have advantage on saving throws against being frightened.

• If you are in dim light or darkness, you can use a bonus action to magically give yourself a flying speed equal to your walking speed until the end of your next turn.",6,Cleric,Twilight Domain (UA),False,,"Unearthed Arcana 63 - Cleric, Druid, Wizard",cleric_features.json
Divine Strike,"At 8th level, you gain the ability to infuse your weapon strikes with divine energy. Once on each of your turns when you hit a creature with a weapon attack, you can cause the attack to deal an extra 1d8 psychic damage. When you reach 14th level, the extra damage increases to 2d8.",8,Cleric,Twilight Domain (UA),False,,"Unearthed Arcana 63 - Cleric, Druid, Wizard",cleric_features.json
Midnight Shroud,"At 17th level, you can harness the shrouding power of night to protect your allies and stymie your foes. Whenever you cast the Darkness spell using a spell slot, you can choose a number of creatures that you can see (including yourself) equal to your Wisdom modifier (minimum of one). The chosen creatures can see through the darkness.",17,Cleric,Twilight Domain (UA),False,,"Unearthed Arcana 63 - Cleric, Druid, Wizard",cleric_features.json
Emboldening Bond,"Starting at 1st level, you can forge an empowering bond between allies. As an action, you can choose two willing creatures you can see within 30 feet of you (this can include yourself) and create a magical bond between them. While either bonded creature is within 30 feet of the other, the creature can roll a d4 and add the number rolled to an attack roll, an ability check, or a saving throw it makes. Each creature can add the d4 no more than once per turn. The bond lasts for 1 hour or until you use this feature again.

You can use this feature once, and you regain the ability to do so when you finish a long rest. You can also expend a spell slot to use the feature again.",1,Cleric,Unity Domain (UA),False,1,"Unearthed Arcana 68 - Subclasses, Part 2",cleric_features.json
Channel Divinity: Shared Burden,"Starting at 2nd level, you can use your Channel Divinity to protect your allies through the strength of your shared bonds.

When a creature you can see within 30 feet of you takes damage, you can use your reaction to choose a number of other willing creatures you can see, up to a number of creatures equal to your Wisdom modifier (minimum of one creature). Distribute the damage taken between the original target and the chosen creatures. Each creature must take at least 1 damage. Apply any damage resistance or vulnerability of the creatures involved after you distribute the damage.",2,Cleric,Unity Domain (UA),False,,"Unearthed Arcana 68 - Subclasses, Part 2",cleric_features.json
Protective Bond,"Beginning at 6th level, the bond you forge between people shields them from harm. While either creature chosen for your Emboldening Bond feature is within 30 feet of the other, the creature can use its reaction to grant resistance to all damage to the other creature when that other creature takes damage. This resistance lasts until the end of the current turn.",6,Cleric,Unity Domain (UA),False,,"Unearthed Arcana 68 - Subclasses, Part 2",cleric_features.json
Potent Spellcasting,"Beginning at 8th level, you add your Wisdom modifier to the damage you deal with any cleric cantrip.",8,Cleric,Unity Domain (UA),False,,"Unearthed Arcana 68 - Subclasses, Part 2",cleric_features.json
Enduring Unity,"At 17th level, the bonds you create endure across vast distances. Creatures affected by your Emboldening Bond feature gain its benefits, as well as those of your Protective Bond feature, while they are on the same plane of existence as each other.

Additionally, when a creature chosen for your Emboldening Bond is reduced to 0 hit points, their bonded partner gains the following benefits for 1 minute, or until the creature regains at least 1 hit point:

• The creature has advantage on attack rolls, ability checks, and saving throws

• The creature gains resistance to all damage

• As an action, the creature can touch their bonded partner to expend and roll any number of Hit Dice. Their bonded partner regains a number of hit points equal to the total rolled.",17,Cleric,Unity Domain (UA),False,,"Unearthed Arcana 68 - Subclasses, Part 2",cleric_features.json
Base Features,"Hit Points:
Hit Dice: 1d8 per druid level Hit Points at 1st Level: 8 + your Constitution modifier Hit Points at Higher Levels: 1d8 (or 5) + your Constitution modifier per druid level after 1st

Proficiencies:
Armor: Light armor, medium armor, shields (druids will not wear armor or use shields made of metal) Weapons: Clubs, daggers, darts, javelins, maces, quarterstaffs, scimitars, sickles, slings, spears Tools: Herbalism kit Saving Throws: Intelligence, Wisdom Skills: Choose two from Arcana, Animal Handling, Insight, Medicine, Nature, Perception, Religion, and Survival

Equipment:
You start with the following equipment, in addition to the equipment granted by your background: • (a) a wooden shield or (b) any simple weapon • (a) a scimitar or (b) any simple melee weapon • Leather armor, an explorer's pack, and a druidic focus",1,Druid,,False,,,druid_features.json
Druidic,"You know Druidic, the secret language of druids. You can speak the language and use it to leave hidden messages. You and others who know this language automatically spot such a message. Others spot the message's presence with a successful DC 15 Wisdom (Perception) check but can't decipher it without magic.",1,Druid,,False,,,druid_features.json
Spellcasting,"Spellcasting:
Drawing on the divine essence of nature itself, you can cast spells to shape that essence to your will.

Cantrips

At 1st level, you know two cantrips of your choice from the druid spell list. You learn additional druid cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Druid table.

Preparing and Casting Spells

The Druid table shows how many spell slots you have to cast your druid spells of 1st level and higher. To cast one of these druid spells, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest.

You prepare the list of druid spells that are available for you to cast, choosing from the druid spell list. When you do so, choose a number of druid spells equal to your Wisdom modifier + your Druid level (minimum of one spell). The spells must be of a level for which you have spell slots.

For example, if you are a 3rd-level druid, you have four 1st-level and two 2nd-level spell slots. With a Wisdom of 16, your list of prepared spells can include six spells of 1st or 2nd level, in any combination. If you prepare the 1st-level spell Cure Wounds, you can cast it using a 1st-level or 2nd-level slot. Casting the spell doesn't remove it from your list of prepared spells. You can also change your list of prepared spells when you finish a long rest. Preparing a new list of druid spells requires time spent in prayer and meditation: at least 1 minute per spell level for each spell on your list.

Spellcasting Ability

Wisdom is your spellcasting ability for your druid spells, since your magic draws upon your devotion and attunement to nature. You use your Wisdom whenever a spell refers to your spellcasting ability. In addition, you use your Wisdom modifier when setting the saving throw DC for a druid spell you cast and when making an attack roll with one.

Spell save DC = 8 + your proficiency bonus + your Wisdom modifier

Spell attack modifier = your proficiency bonus + your Wisdom modifier

Ritual Casting

You can cast a druid spell as a ritual if that spell has the ritual tag and you have the spell prepared.

Spellcasting Focus

You can use a druidic focus as a spellcasting focus for your druid spells.",1,Druid,,False,,,druid_features.json
Wild Shape,"Starting at 2nd level, you can use your action to magically assume the shape of a beast that you have seen before. You can use this feature twice. You regain expended uses when you finish a short or long rest.

Your druid level determines the beasts you can transform into, as shown in the Beast Shapes table. At 2nd level, for example, you can transform into any beast that has a challenge rating of 1/4 or lower that doesn't have a flying or swimming speed.

You can stay in a beast shape for a number of hours equal to half your druid level (rounded down). You then revert to your normal form unless you expend another use of this feature. You can revert to your normal form earlier by using a bonus action on your turn. You automatically revert if you fall unconscious, drop to 0 hit points, or die.

While you are transformed, the following rules apply:

• Your game statistics are replaced by the statistics of the beast, but you retain your alignment, personality, and Intelligence, Wisdom, and Charisma scores. You also retain all of your skill and saving throw proficiencies, in addition to gaining those of the creature. If the creature has the same proficiency as you and the bonus in its stat block is higher than yours, use the creature's bonus instead of yours. If the creature has any legendary or lair actions, you can't use them.

• When you transform, you assume the beast's hit points and Hit Dice. When you revert to your normal form, you return to the number of hit points you had before you transformed. However, if you revert as a result of dropping to 0 hit points, any excess damage carries over to your normal form, For example, if you take 10 damage in animal form and have only 1 hit point left, you revert and take 9 damage. As long as the excess damage doesn't reduce your normal form to 0 hit points, you aren't knocked unconscious.

• You can't cast spells, and your ability to speak or take any action that requires hands is limited to the capabilities of your beast form. Transforming doesn't break your concentration on a spell you've already cast, however, or prevent you from taking actions that are part of a spell, such as Call Lightning, that you've already cast.

• You retain the benefit of any features from your class, race, or other source and can use them if the new form is physically capable of doing so. However, you can't use any of your special senses, such as darkvision, unless your new form also has that sense.

• You choose whether your equipment falls to the ground in your space, merges into your new form, or is worn by it. Worn equipment functions as normal, but the DM decides whether it is practical for the new form to wear a piece of equipment, based on the creature's shape and size. Your equipment doesn't change size or shape to match the new form, and any equipment that the new form can't wear must either fall to the ground or merge with it. Equipment that merges with the form has no effect until you leave the form.",2,Druid,,False,2,,druid_features.json
Druid Circle,"At 2nd level, you choose to identify with a circle of druids. Your choice grants you features at 2nd level and again at 6th, 10th, and 14th level.",2,Druid,Pick your subclass where you set your class (top left),True,,,druid_features.json
Wild Companion,"At 2nd level, you gain the ability to summon a spirit that assumes an animal form: as an action, you can expend a use of your Wild Shape feature to cast the Find Familiar spell, without material components.

When you cast the spell in this way, the familiar is a fey instead of a beast, and the familiar disappears after a number of hours equal to half your druid level.",2,Druid,,False,,,druid_features.json
Timeless Body,"Starting at 18th level, the primal magic that you wield causes you to age more slowly. For every 10 years that pass, your body ages only 1 year.",18,Druid,,False,,,druid_features.json
Beast Spells,"Beginning at 18th level, you can cast many of your druid spells in any shape you assume using Wild Shape. You can perform the somatic and verbal components of a druid spell while in a beast shape, but you aren't able to provide material components.",18,Druid,,False,,,druid_features.json
Archdruid,"At 20th level, you can use your Wild Shape an unlimited number of times.

Additionally, you can ignore the verbal and somatic components of your druid spells, as well as any material components that lack a cost and aren't consumed by a spell. You gain this benefit in both your normal shape and your beast shape from Wild Shape.",20,Druid,,False,,,druid_features.json
Balm of the Summer Court,"At 2nd level, you become imbued with the blessings of the Summer Court. You are a font of energy that offers respite from injuries. You have a pool of fey energy represented by a number of d6s equal to your druid level.

As a bonus action, you can choose an ally you can see within 120 feet of you and spend a number of those dice equal to half your druid level or less. Roll the spent dice and add them together. The target regains a number of hit points equal to the total. The target also gains 1 temporary hit point per die spent.

You regain the expended dice when you finish a long rest.",2,Druid,Circle of Dreams,False,,Xanathar's Guide to Everything,druid_features.json
Hearth of Moonlight and Shadow,"At 6th level, home can be wherever you are. During a short or long rest, you can invoke the shadowy power of the Gloaming Court to help guard your respite. At the start of the rest, you touch a point in space, and an invisible, 30-foot-radius sphere of magic appears, centered on that point. Total cover blocks the sphere.

While within the sphere, you and your allies gain a +5 bonus to Dexterity (Stealth) and Wisdom (Perception) checks, and any light from open flames in the sphere (a campfire, torches, or the like) isn't visible outside it.

The sphere vanishes at the end of the rest or when you leave the sphere.",6,Druid,Circle of Dreams,False,,Xanathar's Guide to Everything,druid_features.json
Hidden Paths,"Starting at 10th level, you can use the hidden, magical pathways that some fey use to traverse space in a blink of an eye. As a bonus action on your turn, you can teleport up to 60 feet to an unoccupied space you can see. Alternatively, you can use your action to teleport one willing creature you touch up to 30 feet to an unoccupied space you can see.

You can use this feature a number of times equal to your Wisdom modifier (minimum of once), and you regain all expended uses of it when you finish a long rest.",10,Druid,Circle of Dreams,False,,Xanathar's Guide to Everything,druid_features.json
Walker in Dreams,"At 14th level, the magic of the Feywild grants you the ability to travel mentally or physically through dreamlands.

When you finish a short rest, you can cast one of the following spells, without expending a spell slot or requiring material components: Dream (with you as the messenger), Scrying, or Teleportation Circle.

This use of Teleportation Circle is special. Rather than opening a portal to a permanent teleportation circle, it opens a portal to the last location where you finished a long rest on your current plane of existence. If you haven't taken a long rest on your current plane, the spell fails but isn't wasted.

Once you use this feature, you can't use it again until you finish a long rest.",14,Druid,Circle of Dreams,False,1,Xanathar's Guide to Everything,druid_features.json
Bonus Cantrip,"When you choose this circle at 2nd level, you learn one additional druid cantrip of your choice. This cantrip doesn’t count against the number of druid cantrips you know.",2,Druid,Circle of the Land,False,,Player's Handbook,druid_features.json
Natural Recovery,"Starting at 2nd level, you can regain some of your magical energy by sitting in meditation and communing with nature. During a short rest, you choose expended spell slots to recover. The spell slots can have a combined level that is equal to or less than half your druid level (rounded up), and none of the slots can be 6th level or higher. You can't use this feature again until you finish a long rest.

For example, when you are a 4th-level druid, you can recover up to two levels worth of spell slots. You can recover either a 2nd-level slot or two 1st-level slots.",2,Druid,Circle of the Land,False,1,Player's Handbook,druid_features.json
Circle Spells,"Your mystical connection to the land infuses you with the ability to cast certain spells. At 3rd, 5th, 7th, and 9th level you gain access to circle spells connected to the land where you became a druid. Choose that land – arctic, coast, desert, forest, grassland, mountain, swamp, or Underdark – and consult the associated list of spells.

Once you gain access to a circle spell, you always have it prepared, and it doesn't count against the number of spells you can prepare each day. If you gain access to a spell that doesn't appear on the druid spell list, the spell is nonetheless a druid spell for you.",9,Druid,Circle of the Land,False,,Player's Handbook,druid_features.json
Nature's Ward,"When you reach 10th level, you can't be charmed or frightened by elementals or fey, and you are immune to poison and disease.",10,Druid,Circle of the Land,False,,Player's Handbook,druid_features.json
Nature's Sanctuary,"When you reach 14th level, creatures of the natural world sense your connection to nature and become hesitant to attack you. When a beast or plant creature attacks you, that creature must make a Wisdom saving throw against your druid spell save DC. On a failed save, the creature must choose a different target, or the attack automatically misses. On a successful save, the creature is immune to this effect for 24 hours.

The creature is aware of this effect before it makes its attack against you.",14,Druid,Circle of the Land,False,,Player's Handbook,druid_features.json
Combat Wild Shape,"When you choose this circle at 2nd level, you gain the ability to use Wild Shape on your turn as a bonus action, rather than as an action.

Additionally, while you are transformed by Wild Shape, you can use a bonus action to expend one spell slot to regain 1d8 hit points per level of the spell slot expended.",2,Druid,Circle of the Moon,False,,Player's Handbook,druid_features.json
Circle Forms,"The rites of your circle grant you the ability to transform into more dangerous animal forms. Starting at 2nd level, you can use your Wild Shape to transform into a beast with a challenge rating as high as 1. You ignore the Max. CR column of the Beast Shapes table, but must abide by the other limitations there.

Starting at 6th level, you can transform into a beast with a challenge rating as high as your druid level divided by 3, rounded down.",2,Druid,Circle of the Moon,False,,Player's Handbook,druid_features.json
Primal Strike,"Starting at 6th level, your attacks in beast form count as magical for the purpose of overcoming resistance and immunity to nonmagical attacks and damage.",6,Druid,Circle of the Moon,False,,Player's Handbook,druid_features.json
Elemental Wild Shape,"At 10th level, you can expend two uses of Wild Shape at the same time to transform into an air elemental, an earth elemental, a fire elemental, or a water elemental.",10,Druid,Circle of the Moon,False,,Player's Handbook,druid_features.json
Thousand Forms,"By 14th level, you have learned to use magic to alter your physical form in more subtle ways. You can cast the Alter Self spell at will.",14,Druid,Circle of the Moon,False,,Player's Handbook,druid_features.json
Speech of the Woods,"At 2nd level, you gain the ability to converse with beasts and many fey.

You learn to speak, read, and write Sylvan. In addition, beasts can understand your speech, and you gain the ability to decipher their noises and motions. Most beasts lack the intelligence to convey or understand sophisticated concepts, but a friendly beast could relay what it has seen or heard in the recent past. This ability doesn’t grant you any special friendship with beasts, though you can combine this ability with gifts to curry favor with them as you would with any nonplayer character.",2,Druid,Circle of the Shepherd,False,,Xanathar's Guide to Everything,druid_features.json
Spirit Totem,"Starting at 2nd level, you gain the ability to call forth nature spirits and use them to influence the world around you.

As a bonus action, you can magically summon an incorporeal spirit to a point you can see within 60 feet of you. The spirit creates an aura in a 30-foot radius around that point. It counts as neither a creature nor an object, though it has the spectral appearance of the creature it represents. As a bonus action, you can move the spirit up to 60 feet to a point you can see.

The spirit persists for 1 minute. Once you use this feature, you can’t use it again until you finish a short or long rest.

The effect of the spirit’s aura depends on the type of spirit you summon from the options below.

Bear Spirit. The bear spirit grants you and your allies its might and endurance. Each creature of your choice in the aura when the spirit appears gains temporary hit points equal to 5 + your druid level. In addition, you and your allies gain advantage on Strength checks and Strength saving throws while in the aura.

Hawk Spirit. The hawk spirit is a consummate hunter, aiding you and your allies with its keen sight. When a creature makes an attack roll against a target in the spirit’s aura, you can use your reaction to grant advantage to that attack roll. In addition, you and your allies have advantage on Wisdom (Perception) checks while in the aura.

Unicorn Spirit. The unicorn spirit lends its protection to those nearby. You and your allies gain advantage on all ability checks made to detect creatures in the spirit’s aura. In addition, if you cast a spell using a spell slot that restores hit points to any creature inside or outside the aura, each creature of your choice in the aura also regains hit points equal to your druid level.",2,Druid,Circle of the Shepherd,False,1,Xanathar's Guide to Everything,druid_features.json
Mighty Summoner,"At 6th level, beasts and fey that you conjure are more resilient than normal. Any beast or fey summoned or created by a spell that you cast gains two benefits:

• The creature appears with more hit points than normal: 2 extra hit points per Hit Die it has.

• The damage from its natural weapons is considered magical for the purpose of overcoming immunity and resistance to nonmagical attacks and damage.",6,Druid,Circle of the Shepherd,False,,Xanathar's Guide to Everything,druid_features.json
Guardian Spirit,"Beginning at 10th level, your Spirit Totem safeguards the beasts and fey that you call forth with your magic. When a beast or fey that you summoned or created with a spell ends its turn in your Spirit Totem aura, that creature regains a number of hit points equal to half your druid level.",10,Druid,Circle of the Shepherd,False,,Xanathar's Guide to Everything,druid_features.json
Faithful Summons,"Starting at 14th level, the nature spirits you commune with protect you when you are the most defenseless. If you are reduced to 0 hit points or are incapacitated against your will, you can immediately gain the benefits of Conjure Animals as if it were cast with a 9th-level spell slot. It summons four beasts of your choice that are challenge rating 2 or lower. The conjured beasts appear within 20 feet of you. If they receive no commands from you, they protect you from harm and attack your foes. The spell lasts for 1 hour, requiring no concentration, or until you dismiss it (no action required).

Once you use this feature, you can’t use it again until you finish a long rest.",14,Druid,Circle of the Shepherd,False,1,Xanathar's Guide to Everything,druid_features.json
Circle Spells,"Your symbiotic link to fungi and your ability to tap into the cycle of life and death grants you access to certain spells. At 2nd level, you learn the Chill Touch cantrip.

At 3rd, 5th, 7th, and 9th level you gain access to the spells listed for that level in the Circle of Spores Spells table. Once you gain access to one of these spells, you always have it prepared, and it doesn't count against the number of spells you can prepare each day. If you gain access to a spell that doesn't appear on the druid spell list, the spell is nonetheless a druid spell for you.",2,Druid,Circle of Spores,False,,"Guildmaster's Guide to Ravnica, Tasha's Cauldron of Everything",druid_features.json
Halo of Spores,"Starting at 2nd level, you are surrounded by invisible, necrotic spores that are harmless until you unleash them on a creature nearby. When a creature you can see moves into a space within 10 feet of you or starts its turn there, you can use your reaction to deal 1d4 necrotic damage to that creature unless it succeeds on a Constitution saving throw against your spell save DC. The necrotic damage increases to 1d6 at 6th level, 1d8 at 10th level, and 1d10 at 14th level.",2,Druid,Circle of Spores,False,,"Guildmaster's Guide to Ravnica, Tasha's Cauldron of Everything",druid_features.json
Symbiotic Entity,"Also at 2nd level, you gain the ability to channel magic into your spores. As an action, you can expend a use of your Wild Shape feature to awaken those spores, rather than transforming into a beast form, and you gain 4 temporary hit points for each level you have in this class. While this feature is active, you gain the following benefits:

• When you deal your Halo of Spores damage, roll the damage die a second time and add it to the total.

• Your melee weapon attacks deal an extra 1d6 necrotic damage to any target they hit.

These benefits last for 10 minutes, until you lose all these temporary hit points. or until you use your Wild Shape again.",2,Druid,Circle of Spores,False,,"Guildmaster's Guide to Ravnica, Tasha's Cauldron of Everything",druid_features.json
